county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,state_name_census,county_name_census,pop_total,npopchg,net_mig_census,pop_growth_rate,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions
27011,MN-011,Big Stone County,2020,43.75,302.83,Minnesota,MN,27,Big Stone,11,27011,4498041.843025851,8.524173027989821,Very Low,4368984.912248085,10.51980198019802,Very Low,38.16793893,Relatively Low,77.00381679389314,Relatively High,10224.230241472127,23.918575063613233,Very Low,1740312.5646970205,13.581424936386767,Very Low,16918.476125753146,32.029262086513995,Very Low,147620.97000044776,30.700064226075785,Very Low,101937.04696740428,62.2533418204965,Relatively Moderate,December 2025,Minnesota,Big Stone County,5158,-10,-7,,,,,,,
27011,MN-011,Big Stone County,2021,46.05833333333334,271.9,Minnesota,MN,27,Big Stone,11,27011,4498041.843025851,8.524173027989821,Very Low,4368984.912248085,10.51980198019802,Very Low,38.16793893,Relatively Low,77.00381679389314,Relatively High,10224.230241472127,23.918575063613233,Very Low,1740312.5646970205,13.581424936386767,Very Low,16918.476125753146,32.029262086513995,Very Low,147620.97000044776,30.700064226075785,Very Low,101937.04696740428,62.2533418204965,Relatively Moderate,December 2025,Minnesota,Big Stone County,5167,9,21,0.1744862349748022,,,,,,
27011,MN-011,Big Stone County,2022,44.11666666666667,329.97,Minnesota,MN,27,Big Stone,11,27011,4498041.843025851,8.524173027989821,Very Low,4368984.912248085,10.51980198019802,Very Low,38.16793893,Relatively Low,77.00381679389314,Relatively High,10224.230241472127,23.918575063613233,Very Low,1740312.5646970205,13.581424936386767,Very Low,16918.476125753146,32.029262086513995,Very Low,147620.97000044776,30.700064226075785,Very Low,101937.04696740428,62.2533418204965,Relatively Moderate,December 2025,Minnesota,Big Stone County,5144,-23,7,-0.4451325720921217,,,,,,
27011,MN-011,Big Stone County,2023,43.525,245.11,Minnesota,MN,27,Big Stone,11,27011,4498041.843025851,8.524173027989821,Very Low,4368984.912248085,10.51980198019802,Very Low,38.16793893,Relatively Low,77.00381679389314,Relatively High,10224.230241472127,23.918575063613233,Very Low,1740312.5646970205,13.581424936386767,Very Low,16918.476125753146,32.029262086513995,Very Low,147620.97000044776,30.700064226075785,Very Low,101937.04696740428,62.2533418204965,Relatively Moderate,December 2025,Minnesota,Big Stone County,5098,-46,-20,-0.8942457231726264,2402.0,4727.0,2472.0,4842.0,-70.0,-115.0
27013,MN-013,Blue Earth County,2020,45.30833333333334,459.43,Minnesota,MN,27,Blue Earth,13,27013,32217877.61331022,72.20101781170484,Relatively Low,33249251.404017843,75.30940594059405,Relatively Low,31.456743,Relatively Low,97.20101781170484,Very High,901634.0872281676,78.7531806615776,Relatively Moderate,11571284.875052176,65.87150127226464,Relatively Low,16619.825697140925,31.838422391857502,Very Low,918747.260186738,69.26782273603082,Relatively Low,591302.5965152757,93.50732017823044,Relatively High,December 2025,Minnesota,Blue Earth County,69202,85,16,,,,,,,
27013,MN-013,Blue Earth County,2021,46.84166666666667,319.77,Minnesota,MN,27,Blue Earth,13,27013,32217877.61331022,72.20101781170484,Relatively Low,33249251.404017843,75.30940594059405,Relatively Low,31.456743,Relatively Low,97.20101781170484,Very High,901634.0872281676,78.7531806615776,Relatively Moderate,11571284.875052176,65.87150127226464,Relatively Low,16619.825697140925,31.838422391857502,Very Low,918747.260186738,69.26782273603082,Relatively Low,591302.5965152757,93.50732017823044,Relatively High,December 2025,Minnesota,Blue Earth County,69387,185,-22,0.2673333140660761,,,,,,
27013,MN-013,Blue Earth County,2022,45.75,320.12,Minnesota,MN,27,Blue Earth,13,27013,32217877.61331022,72.20101781170484,Relatively Low,33249251.404017843,75.30940594059405,Relatively Low,31.456743,Relatively Low,97.20101781170484,Very High,901634.0872281676,78.7531806615776,Relatively Moderate,11571284.875052176,65.87150127226464,Relatively Low,16619.825697140925,31.838422391857502,Very Low,918747.260186738,69.26782273603082,Relatively Low,591302.5965152757,93.50732017823044,Relatively High,December 2025,Minnesota,Blue Earth County,70108,721,644,1.0390995431420968,,,,,,
27013,MN-013,Blue Earth County,2023,45.63333333333333,328.42,Minnesota,MN,27,Blue Earth,13,27013,32217877.61331022,72.20101781170484,Relatively Low,33249251.404017843,75.30940594059405,Relatively Low,31.456743,Relatively Low,97.20101781170484,Very High,901634.0872281676,78.7531806615776,Relatively Moderate,11571284.875052176,65.87150127226464,Relatively Low,16619.825697140925,31.838422391857502,Very Low,918747.260186738,69.26782273603082,Relatively Low,591302.5965152757,93.50732017823044,Relatively High,December 2025,Minnesota,Blue Earth County,70328,220,78,0.3138015633023405,35211.0,63510.0,36536.0,65639.0,-1325.0,-2129.0
27015,MN-015,Brown County,2020,45.53333333333333,408.82,Minnesota,MN,27,Brown,15,27015,17072246.629496034,50.38167938931297,Relatively Low,24444962.78596848,66.83168316831683,Relatively Low,11.38676845,Very Low,98.88676844783714,Very High,408002.5222951556,64.8854961832061,Relatively Moderate,5857483.934008418,44.465648854961835,Relatively Low,10369.023301848489,24.07760814249364,Very Low,271155.38017035625,42.67822736030829,Relatively Low,238138.6988538544,81.73138128580521,Relatively Moderate,December 2025,Minnesota,Brown County,25908,-7,-10,,,,,,,
27015,MN-015,Brown County,2021,47.30833333333334,287.4,Minnesota,MN,27,Brown,15,27015,17072246.629496034,50.38167938931297,Relatively Low,24444962.78596848,66.83168316831683,Relatively Low,11.38676845,Very Low,98.88676844783714,Very High,408002.5222951556,64.8854961832061,Relatively Moderate,5857483.934008418,44.465648854961835,Relatively Low,10369.023301848489,24.07760814249364,Very Low,271155.38017035625,42.67822736030829,Relatively Low,238138.6988538544,81.73138128580521,Relatively Moderate,December 2025,Minnesota,Brown County,25904,-4,33,-0.0154392465647634,,,,,,
