county_fips,county_code,county_name,year,temp_avg,precip_total
27075,MN-075,Lake County,2018,36.40833333333333,374.48
27075,MN-075,Lake County,2019,35.84166666666667,389.62
27075,MN-075,Lake County,2020,37.458333333333336,343.99
27075,MN-075,Lake County,2021,39.016666666666666,284.84
27075,MN-075,Lake County,2022,36.78333333333334,393.11
27075,MN-075,Lake County,2023,37.766666666666666,386.90999999999997
27077,MN-077,Lake of the Woods County,2011,38.44166666666667,296.4
27077,MN-077,Lake of the Woods County,2012,42.44166666666667,227.87
27077,MN-077,Lake of the Woods County,2013,37.36666666666667,269.26
27077,MN-077,Lake of the Woods County,2014,34.4,327.18
27077,MN-077,Lake of the Woods County,2015,38.43333333333333,312.12
27077,MN-077,Lake of the Woods County,2016,41.63333333333333,328.29
27077,MN-077,Lake of the Woods County,2017,40.85,289.73
27077,MN-077,Lake of the Woods County,2018,37.475,224.34
27077,MN-077,Lake of the Woods County,2019,36.574999999999996,278.75
27077,MN-077,Lake of the Woods County,2020,38.291666666666664,306.69
27077,MN-077,Lake of the Woods County,2021,40.30833333333333,230.8
27077,MN-077,Lake of the Woods County,2022,38.24166666666667,285.6
27077,MN-077,Lake of the Woods County,2023,39.233333333333334,228.05
27079,MN-079,Le Sueur County,2011,44.666666666666664,449.05
27079,MN-079,Le Sueur County,2012,49.199999999999996,347.17
27079,MN-079,Le Sueur County,2013,44.9,354.53
27079,MN-079,Le Sueur County,2014,41.84166666666667,374.99
27079,MN-079,Le Sueur County,2015,44.625,378.2
27079,MN-079,Le Sueur County,2016,48.09166666666667,493.37
27079,MN-079,Le Sueur County,2017,47.88333333333333,466.47999999999996
27079,MN-079,Le Sueur County,2018,44.458333333333336,375.51
27079,MN-079,Le Sueur County,2019,43.26666666666667,485.69
27079,MN-079,Le Sueur County,2020,44.80833333333334,467.43
27079,MN-079,Le Sueur County,2021,46.59166666666667,344.63
27079,MN-079,Le Sueur County,2022,45.25833333333333,313.73
27079,MN-079,Le Sueur County,2023,45.35833333333333,321.55
27081,MN-081,Lincoln County,2011,42.475,444.03000000000003
27081,MN-081,Lincoln County,2012,47.69166666666666,285.28
27081,MN-081,Lincoln County,2013,43.050000000000004,301.44
27081,MN-081,Lincoln County,2014,40.59166666666667,312.03
27081,MN-081,Lincoln County,2015,43.708333333333336,308.04
27081,MN-081,Lincoln County,2016,46.775,360.69
27081,MN-081,Lincoln County,2017,46.03333333333333,356.77
27081,MN-081,Lincoln County,2018,42.975,388.68
27081,MN-081,Lincoln County,2019,41.34166666666667,493.36
27081,MN-081,Lincoln County,2020,43.56666666666666,369.02
27081,MN-081,Lincoln County,2021,45.59166666666667,275.23
27081,MN-081,Lincoln County,2022,44.35,323.81
27081,MN-081,Lincoln County,2023,43.74166666666667,289.25
27083,MN-083,Lyon County,2011,43.666666666666664,439.68
27083,MN-083,Lyon County,2012,48.98333333333333,269.66
27083,MN-083,Lyon County,2013,44.4,289.17
27083,MN-083,Lyon County,2014,41.925000000000004,300.26
27083,MN-083,Lyon County,2015,45.0,295.16
27083,MN-083,Lyon County,2016,47.98333333333333,363.63
27083,MN-083,Lyon County,2017,47.18333333333334,371.21
27083,MN-083,Lyon County,2018,43.86666666666667,406.93
27083,MN-083,Lyon County,2019,42.34166666666667,511.53000000000003
27083,MN-083,Lyon County,2020,44.475,385.0
27083,MN-083,Lyon County,2021,46.48333333333333,279.97
27083,MN-083,Lyon County,2022,45.300000000000004,309.11
27083,MN-083,Lyon County,2023,44.80833333333334,289.85
27085,MN-085,McLeod County,2011,43.725,413.95
27085,MN-085,McLeod County,2012,48.583333333333336,320.42
27085,MN-085,McLeod County,2013,43.94166666666666,334.18
27085,MN-085,McLeod County,2014,41.09166666666667,372.4
27085,MN-085,McLeod County,2015,43.85,319.29
27085,MN-085,McLeod County,2016,47.44166666666666,378.85
27085,MN-085,McLeod County,2017,47.15,353.56
27085,MN-085,McLeod County,2018,43.93333333333334,317.32
27085,MN-085,McLeod County,2019,42.6,402.18
27085,MN-085,McLeod County,2020,44.61666666666667,330.7
27085,MN-085,McLeod County,2021,46.36666666666667,240.08
27085,MN-085,McLeod County,2022,44.85833333333333,245.21
27085,MN-085,McLeod County,2023,44.875,224.39000000000001
27087,MN-087,Mahnomen County,2011,39.083333333333336,338.65
27087,MN-087,Mahnomen County,2012,43.699999999999996,245.35000000000002
27087,MN-087,Mahnomen County,2013,39.291666666666664,284.12
27087,MN-087,Mahnomen County,2014,36.266666666666666,310.94
27087,MN-087,Mahnomen County,2015,40.00833333333333,272.42
27087,MN-087,Mahnomen County,2016,43.44166666666666,306.61
27087,MN-087,Mahnomen County,2017,42.09166666666667,292.45
27087,MN-087,Mahnomen County,2018,38.49166666666667,262.95
27087,MN-087,Mahnomen County,2019,36.916666666666664,324.96
27087,MN-087,Mahnomen County,2020,38.53333333333333,309.56
27087,MN-087,Mahnomen County,2021,41.199999999999996,204.48
27087,MN-087,Mahnomen County,2022,38.833333333333336,283.87
27087,MN-087,Mahnomen County,2023,39.30833333333333,262.35
27089,MN-089,Marshall County,2011,38.925000000000004,287.83
27089,MN-089,Marshall County,2012,43.166666666666664,197.5
27089,MN-089,Marshall County,2013,38.324999999999996,225.0
27089,MN-089,Marshall County,2014,35.458333333333336,257.14
27089,MN-089,Marshall County,2015,39.40833333333333,234.26
27089,MN-089,Marshall County,2016,43.03333333333333,288.89
27089,MN-089,Marshall County,2017,42.016666666666666,279.56
27089,MN-089,Marshall County,2018,39.016666666666666,230.09
27089,MN-089,Marshall County,2019,37.074999999999996,280.38
27089,MN-089,Marshall County,2020,38.875,314.17
27089,MN-089,Marshall County,2021,41.333333333333336,196.66
27089,MN-089,Marshall County,2022,38.625,257.93
27089,MN-089,Marshall County,2023,38.63333333333333,205.28
27091,MN-091,Martin County,2011,44.85833333333333,435.87
27091,MN-091,Martin County,2012,49.583333333333336,292.78
27091,MN-091,Martin County,2013,45.69166666666666,310.82
